2026-05-18 16:49:50 | INFO     | dashboard:258 | Base consolidada carregada: (364382, 16)
2026-05-18 16:49:50 | INFO     | dashboard:286 | Filtro: IES=1, Curso=Engenharia Florestal (6405)
2026-05-18 16:49:50 | INFO     | dashboard:330 | Aba selecionada: 🤖 OpenCode + IA Explicativa
2026-05-18 16:49:55 | INFO     | dashboard:65 | Dashboard iniciado
2026-05-18 16:49:55 | INFO     | dashboard:258 | Base consolidada carregada: (364382, 16)
2026-05-18 16:49:55 | INFO     | dashboard:286 | Filtro: IES=1, Curso=Engenharia Florestal (6405)
2026-05-18 16:49:55 | INFO     | dashboard:330 | Aba selecionada: 🤖 OpenCode + IA Explicativa
2026-05-18 16:49:56 | INFO     | dashboard:826 | Verificando servidor OpenCode em http://localhost:4096
2026-05-18 16:49:58 | WARNING  | dashboard:830 | Servidor não responde. Tentando iniciar em http://localhost:4096...
2026-05-18 16:50:00 | INFO     | dashboard:178 | Tentando encontrar executável OpenCode...
2026-05-18 16:50:00 | INFO     | dashboard:184 | OpenCode encontrado: C:\Users\usuario\AppData\Local\OpenCode\opencode-cli.exe
2026-05-18 16:50:46 | WARNING  | dashboard:199 | Servidor OpenCode não ficou pronto na porta 4096
2026-05-18 16:50:48 | ERROR    | dashboard:857 | Não foi possível conectar ao servidor em http://localhost:4096
2026-05-18 16:54:19 | INFO     | dashboard:65 | Dashboard iniciado
2026-05-18 16:54:19 | INFO     | dashboard:258 | Base consolidada carregada: (364382, 16)
2026-05-18 16:54:19 | INFO     | dashboard:286 | Filtro: IES=1, Curso=Engenharia Florestal (6405)
2026-05-18 16:54:19 | INFO     | dashboard:330 | Aba selecionada: 🤖 OpenCode + IA Explicativa
2026-05-18 16:54:20 | INFO     | dashboard:826 | Verificando servidor OpenCode em http://localhost:4096
2026-05-18 16:54:22 | WARNING  | dashboard:830 | Servidor não responde. Tentando iniciar em http://localhost:4096...
2026-05-18 16:54:24 | INFO     | dashboard:178 | Tentando encontrar executável OpenCode...
2026-05-18 16:54:24 | INFO     | dashboard:184 | OpenCode encontrado: C:\Users\usuario\AppData\Local\OpenCode\opencode-cli.exe
2026-05-18 16:55:09 | WARNING  | dashboard:199 | Servidor OpenCode não ficou pronto na porta 4096
2026-05-18 16:55:11 | ERROR    | dashboard:857 | Não foi possível conectar ao servidor em http://localhost:4096
2026-05-18 17:03:17 | INFO     | dashboard:65 | Dashboard iniciado
2026-05-18 17:03:18 | INFO     | dashboard:258 | Base consolidada carregada: (364382, 16)
2026-05-18 17:03:18 | INFO     | dashboard:286 | Filtro: IES=1, Curso=Engenharia Florestal (6405)
2026-05-18 17:03:18 | INFO     | dashboard:330 | Aba selecionada: 📊 Diagnóstico e Prescrição
2026-05-18 17:03:26 | INFO     | dashboard:65 | Dashboard iniciado
2026-05-18 17:03:26 | INFO     | dashboard:258 | Base consolidada carregada: (364382, 16)
2026-05-18 17:03:26 | INFO     | dashboard:286 | Filtro: IES=1, Curso=Engenharia Florestal (6405)
2026-05-18 17:03:26 | INFO     | dashboard:330 | Aba selecionada: 🤖 OpenCode + IA Explicativa
2026-05-18 17:07:16 | INFO     | dashboard:65 | Dashboard iniciado
2026-05-18 17:07:16 | INFO     | dashboard:258 | Base consolidada carregada: (364382, 16)
2026-05-18 17:07:16 | INFO     | dashboard:286 | Filtro: IES=1, Curso=Engenharia Florestal (6405)
2026-05-18 17:07:16 | INFO     | dashboard:330 | Aba selecionada: 🤖 OpenCode + IA Explicativa
2026-05-18 17:07:20 | INFO     | dashboard:65 | Dashboard iniciado
2026-05-18 17:07:20 | INFO     | dashboard:258 | Base consolidada carregada: (364382, 16)
2026-05-18 17:07:20 | INFO     | dashboard:286 | Filtro: IES=1, Curso=Engenharia Florestal (6405)
2026-05-18 17:07:20 | INFO     | dashboard:330 | Aba selecionada: 🤖 OpenCode + IA Explicativa
2026-05-18 17:07:20 | INFO     | dashboard:826 | Verificando servidor OpenCode em http://localhost:4096
2026-05-18 17:07:22 | WARNING  | dashboard:830 | Servidor não responde. Tentando iniciar em http://localhost:4096...
2026-05-18 17:07:25 | INFO     | dashboard:178 | Tentando encontrar executável OpenCode...
2026-05-18 17:07:25 | INFO     | dashboard:184 | OpenCode encontrado: C:\Users\usuario\AppData\Local\OpenCode\opencode-cli.exe
2026-05-18 17:08:10 | WARNING  | dashboard:199 | Servidor OpenCode não ficou pronto na porta 4096
2026-05-18 17:08:12 | ERROR    | dashboard:857 | Não foi possível conectar ao servidor em http://localhost:4096
2026-05-18 17:14:04 | INFO     | dashboard:63 | Dashboard iniciado
2026-05-18 17:14:05 | INFO     | dashboard:164 | Base consolidada carregada: (364382, 16)
2026-05-18 17:14:05 | INFO     | dashboard:192 | Filtro: IES=1, Curso=Engenharia Florestal (6405)
2026-05-18 17:14:05 | INFO     | dashboard:229 | Aba selecionada: 📊 Diagnóstico e Prescrição
2026-05-18 17:14:06 | INFO     | dashboard:63 | Dashboard iniciado
2026-05-18 17:14:06 | INFO     | dashboard:164 | Base consolidada carregada: (364382, 16)
2026-05-18 17:14:06 | INFO     | dashboard:192 | Filtro: IES=1, Curso=Engenharia Florestal (6405)
2026-05-18 17:14:06 | INFO     | dashboard:229 | Aba selecionada: 🤖 OpenCode + IA Explicativa
2026-05-18 17:14:11 | INFO     | dashboard:63 | Dashboard iniciado
2026-05-18 17:14:11 | INFO     | dashboard:164 | Base consolidada carregada: (364382, 16)
2026-05-18 17:14:11 | INFO     | dashboard:192 | Filtro: IES=1, Curso=Engenharia Florestal (6405)
2026-05-18 17:14:11 | INFO     | dashboard:229 | Aba selecionada: 🤖 OpenCode + IA Explicativa
2026-05-18 17:14:11 | INFO     | dashboard:725 | Enviando prompt via CLI opencode run...
2026-05-18 17:14:11 | INFO     | dashboard:112 | Executando: opencode run ...
2026-05-18 17:14:12 | INFO     | dashboard:731 | Explicação gerada: 37 caracteres
2026-05-18 17:14:25 | INFO     | dashboard:63 | Dashboard iniciado
2026-05-18 17:14:25 | INFO     | dashboard:164 | Base consolidada carregada: (364382, 16)
2026-05-18 17:14:25 | INFO     | dashboard:63 | Dashboard iniciado
2026-05-18 17:14:25 | INFO     | dashboard:164 | Base consolidada carregada: (364382, 16)
2026-05-18 17:14:25 | INFO     | dashboard:192 | Filtro: IES=1, Curso=Engenharia Florestal (6405)
2026-05-18 17:14:25 | INFO     | dashboard:229 | Aba selecionada: 🤖 OpenCode + IA Explicativa
2026-05-18 17:14:25 | INFO     | dashboard:725 | Enviando prompt via CLI opencode run...
2026-05-18 17:14:25 | INFO     | dashboard:112 | Executando: opencode run ...
